request_id,client_id,session_id,request_type,received_at,queued_at,started_at,completed_at,queue_wait_ms,processing_ms,queue_depth,result,thread_name,is_virtual
d858a3ec-aec7-463c-a8c5-bc296069c10e,1f60d3da-a02f-4ca8-81e3-e182b205a0cc,3ee11831-ac9b-470f-b418-7e3bf5fb9ff7,STEP_GAME,2026-09-19T19:16:15.020713205Z,2026-09-19T19:16:15.020715298Z,2026-09-19T19:16:15.027017260Z,2026-09-19T19:16:15.028114795Z,6,1,6,SUCCESS,session-3ee11831-ac9b-470f-b418-7e3bf5fb9ff7,true
b8523647-f95e-45e1-8d83-abe4fc64141c,1f60d3da-a02f-4ca8-81e3-e182b205a0cc,3ee11831-ac9b-470f-b418-7e3bf5fb9ff7,STEP_GAME,2026-09-19T19:16:15.020958385Z,2026-09-19T19:16:15.020960538Z,2026-09-19T19:16:15.028231707Z,2026-09-19T19:16:15.028428206Z,7,0,7,SUCCESS,session-3ee11831-ac9b-470f-b418-7e3bf5fb9ff7,true
9defb1be-b312-48a2-b40c-c0b01200f77c,1f60d3da-a02f-4ca8-81e3-e182b205a0cc,3ee11831-ac9b-470f-b418-7e3bf5fb9ff7,STEP_GAME,2026-09-19T19:16:15.021156336Z,2026-09-19T19:16:15.021158269Z,2026-09-19T19:16:15.028494674Z,2026-09-19T19:16:15.028690071Z,7,0,7,SUCCESS,session-3ee11831-ac9b-470f-b418-7e3bf5fb9ff7,true
3558b17b-e21a-421f-9ff1-fbc41ce11a2c,5920e42e-fe80-4d35-ac31-5ce8197ce699,3ee11831-ac9b-470f-b418-7e3bf5fb9ff7,STEP_GAME,2026-09-19T19:16:15.021254922Z,2026-09-19T19:16:15.021261311Z,2026-09-19T19:16:15.028828615Z,2026-09-19T19:16:15.029138081Z,7,0,8,SUCCESS,session-3ee11831-ac9b-470f-b418-7e3bf5fb9ff7,true
16ff35e4-0265-493d-b7b4-b150a52f2586,1f60d3da-a02f-4ca8-81e3-e182b205a0cc,3ee11831-ac9b-470f-b418-7e3bf5fb9ff7,STEP_GAME,2026-09-19T19:16:15.021289903Z,2026-09-19T19:16:15.021291926Z,2026-09-19T19:16:15.029250186Z,2026-09-19T19:16:15.029609775Z,7,0,9,SUCCESS,session-3ee11831-ac9b-470f-b418-7e3bf5fb9ff7,true
b047441a-7444-4e4f-ba52-d7d78c0f2a07,1f60d3da-a02f-4ca8-81e3-e182b205a0cc,3ee11831-ac9b-470f-b418-7e3bf5fb9ff7,STEP_GAME,2026-09-19T19:16:15.021476978Z,2026-09-19T19:16:15.021479011Z,2026-09-19T19:16:15.029676603Z,2026-09-19T19:16:15.029911609Z,8,0,10,SUCCESS,session-3ee11831-ac9b-470f-b418-7e3bf5fb9ff7,true
364c4894-a959-4ddb-a80f-99a4a8d5710e,5920e42e-fe80-4d35-ac31-5ce8197ce699,3ee11831-ac9b-470f-b418-7e3bf5fb9ff7,STEP_GAME,2026-09-19T19:16:15.021521114Z,2026-09-19T19:16:15.021524839Z,2026-09-19T19:16:15.030018526Z,2026-09-19T19:16:15.030317696Z,8,0,11,SUCCESS,session-3ee11831-ac9b-470f-b418-7e3bf5fb9ff7,true
93f2105c-8573-41fd-ad95-b3359925c204,1f60d3da-a02f-4ca8-81e3-e182b205a0cc,3ee11831-ac9b-470f-b418-7e3bf5fb9ff7,STEP_GAME,2026-09-19T19:16:15.021677033Z,2026-09-19T19:16:15.021679716Z,2026-09-19T19:16:15.030405916Z,2026-09-19T19:16:15.030660240Z,8,0,12,SUCCESS,session-3ee11831-ac9b-470f-b418-7e3bf5fb9ff7,true
45370184-b72c-41f1-a77b-370278a155f7,5920e42e-fe80-4d35-ac31-5ce8197ce699,3ee11831-ac9b-470f-b418-7e3bf5fb9ff7,STEP_GAME,2026-09-19T19:16:15.021721308Z,2026-09-19T19:16:15.021724633Z,2026-09-19T19:16:15.030813275Z,2026-09-19T19:16:15.031216829Z,9,0,13,SUCCESS,session-3ee11831-ac9b-470f-b418-7e3bf5fb9ff7,true
6befe629-f62e-4f3f-95e7-46373927607e,1f60d3da-a02f-4ca8-81e3-e182b205a0cc,3ee11831-ac9b-470f-b418-7e3bf5fb9ff7,STEP_GAME,2026-09-19T19:16:15.021876366Z,2026-09-19T19:16:15.021879080Z,2026-09-19T19:16:15.031307913Z,2026-09-19T19:16:15.031485564Z,9,0,14,SUCCESS,session-3ee11831-ac9b-470f-b418-7e3bf5fb9ff7,true
